id;nom;prenom;city
1;Investment Visionary;Buckinghamshire;Sanford
2;Bolivar SQL;Minnesota Bedfordshire;Mohammedhaven
3;VirginiaXX;SMTPXXXXXX;Mount Pleasant
4;Bedfordshire;quantifyXX;Kohlermouth
5;vortalsXXX;California;East Melyna
6;Inlet productize;cross-platform Iceland Group;Ratkemouth
7;Peso enable Groves;THXXXXXXXX;North Duane
8;compressing users Republic;bypassing Jewelery;East Allisonport
9;Manager Avon Paradigm;backing digital Global;Harlingen
10;motivating supply-chains navigating;Concrete Up-sized;Orland Park
